1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%
AceyDay,Lt,1,1,,,,,,,,,,AceyDay,Lt,1,1,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,L,,1,0,3,0,2,50,172,327,149,25,AceyDay,W,1,,3,2,0,3,32,291,329,141,29,AceyDay,L,,1,0,3,0,3,22,309,281,116,44,AceyDay,W,1,,1,1,0,2,54,285,195,89,50,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,,AceyDay,No,,,,,,,,,,,
B-ROD,Lt,1,1,,,,,,,,,,B-ROD,Lt,1,1,,,,,,,,,,B-ROD,W,1,,2,2,0,2,57,337,284,143,39,B-ROD,L,,1,2,3,0,1,53,209,333,168,47,B-ROD,No,,,,,,,,,,,,B-ROD,No,,,,,,,,,,,,B-ROD,W,1,,2,2,0,2,56,268,355,132,32,B-ROD,W,1,,4,2,1,4,36,394,418,148,34,B-ROD,L,,1,3,3,0,4,6,401,312,141,39,B-ROD,L,,1,3,3,0,5,45,453,444,156,30,B-ROD,L,,1,2,3,0,3,12,306,365,137,40,B-ROD,W,1,,3,2,1,2,48,314,275,134,54,B-ROD,L,,1,2,3,1,2,55,245,350,142,42,B-ROD,L,,1,4,3,0,5,58,400,436,149,30
Ben,W,1,,3,2,1,2,36,485,325,115,48,Ben,W,1,,3,2,0,2,38,415,283,144,47,Ben,W,1,,3,2,0,2,48,308,287,159,42,Ben,W,1,,5,2,1,3,53,556,250,120,39,Ben,W,1,,5,1,0,3,7,575,257,130,41,Ben,W,1,,6,3,1,3,11,197,380,121,40,Ben,W,1,,2,2,0,3,30,382,364,143,35,Ben,L,,1,2,3,1,4,13,505,424,169,29,Ben,L,,1,2,3,0,6,39,621,621,230,29,Ben,W,1,,2,2,1,3,26,324,391,221,28,Ben,L,,1,3,3,1,2,53,380,356,137,42,Ben,W,1,,5,2,1,4,10,471,375,130,40,Ben,W,1,,5,2,1,3,42,454,351,142,35,Ben,W,1,,4,2,0,3,8,531,303,124,50
Brosafat,W,1,,,,,,,,,,,Brosafat,Lt,1,1,,,,,,,,,,Brosafat,L,,1,3,4,0,2,33,158,407,113,27,Brosafat,W,1,,3,2,0,2,46,280,186,86,39,Brosafat,W,1,,3,2,1,3,33,504,306,167,47,Brosafat,L,,1,1,3,1,3,11,294,431,190,43,Brosafat,L,,1,2,4,0,3,49,350,431,135,37,Brosafat,W,1,,5,2,0,4,56,432,396,163,46,Brosafat,W,1,,3,2,1,3,57,337,234,155,37,Brosafat,W,1,,2,2,1,3,15,173,356,158,43,Brosafat,W,1,,4,2,1,4,29,515,429,150,41,Brosafat,L,,1,0,3,0,2,52,300,411,170,45,Brosafat,W,1,,1,3,1,2,43,291,399,180,39,Brosafat,W,1,,3,3,0,3,24,393,333,148,49
Caceorte,L,,1,2,3,2,3,37,115,420,160,24,Caceorte,L,,1,1,3,1,2,3,215,388,160,33,Caceorte,W,1,,1,1,0,2,20,297,112,88,34,Caceorte,L,,1,2,3,0,2,28,284,317,107,29,Caceorte,L,,1,1,3,0,3,44,241,397,156,15,Caceorte,W,1,,3,2,0,4,9,377,342,118,34,Caceorte,L,,1,0,2,1,2,30,237,259,133,29,Caceorte,L,,1,1,2,1,4,36,471,271,150,33,Caceorte,W,1,,3,2,0,2,56,299,356,198,34,Caceorte,W,1,,4,2,1,2,54,319,279,97,32,Caceorte,W,1,,5,3,0,3,43,342,423,148,25,Caceorte,W,1,,2,2,1,4,11,539,419,153,33,Caceorte,W,1,,3,1,0,2,3,183,145,145,26,Caceorte,L,,1,1,3,0,2,41,87,305,93,17
Dragnmastr,W,1,,2,1,0,3,37,260,138,108,52,Dragnmastr,W,1,,2,2,0,2,52,321,242,144,61,Dragnmastr,L,,1,1,2,0,2,20,205,240,125,51,Dragnmastr,W,1,,3,2,1,4,3,313,266,180,46,Dragnmastr,W,1,,1,3,0,3,19,259,337,136,59,Dragnmastr,L,,1,2,3,0,3,11,230,454,191,47,Dragnmastr,No,,,,,,,,,,,,Dragnmastr,No,,,,,,,,,,,,Dragnmastr,No,,,,,,,,,,,,Dragnmastr,No,,,,,,,,,,,,Dragnmastr,L,,1,0,3,0,1,59,163,341,135,38,Dragnmastr,W,1,,4,3,0,4,11,246,355,129,41,Dragnmastr,W,1,,2,2,0,3,38,233,199,76,58,Dragnmastr,W,1,,2,2,0,2,41,253,244,100,45
Forcecastr,L,,1,1,3,0,3,0,190,324,162,33,Forcecastr,L,,1,4,3,0,3,8,431,314,142,45,Forcecastr,W,1,,4,2,0,3,36,385,408,160,43,Forcecastr,W,1,,6,2,0,4,3,359,366,157,30,Forcecastr,W,1,,1,2,0,3,33,306,33,126,39,Forcecastr,No,,,,,,,,,,,,Forcecastr,L,,1,2,3,0,3,29,256,353,138,29,Forcecastr,L,,1,3,4,1,4,36,377,469,135,40,Forcecastr,No,,,,,,,,,,,,Forcecastr,No,,,,,,,,,,,,Forcecastr,No,,,,,,,,,,,,Forcecastr,No,,,,,,,,,,,,Forcecastr,W,1,,0,3,0,1,47,115,280,104,20,Forcecastr,L,,1,1,3,0,1,55,118,272,137,34
guitarShrk,L,,1,0,3,0,2,32,374,422,157,34,guitarShrk,W,1,,4,3,0,2,52,387,392,134,27,guitarShrk,No,,,,,,,,,,,,guitarShrk,W,1,,0,3,0,3,11,132,372,194,15,guitarShrk,No,,,,,,,,,,,,guitarShrk,No,,,,,,,,,,,,guitarShrk,L,,1,0,4,0,3,19,187,343,121,25,guitarShrk,L,,1,1,3,0,2,8,167,338,120,24,guitarShrk,No,,,,,,,,,,,,guitarShrk,No,,,,,,,,,,,,guitarShrk,L,,1,1,3,1,2,36,333,398,192,38,guitarShrk,L,,1,2,2,1,2,48,326,308,173,29,guitarShrk,W,1,,4,3,0,3,2,424,453,164,36,guitarShrk,L,,1,0,3,1,2,25,248,356,153,30
J24,W,1,,3,2,0,3,47,581,279,144,45,J24,W,1,,1,3,0,3,39,291,293,120,40,J24,W,1,,3,2,1,3,58,517,239,86,44,J24,L,,1,2,3,0,2,25,229,344,146,26,J24,W,1,,2,1,0,3,17,235,262,123,40,J24,W,1,,6,1,0,3,49,598,271,128,51,J24,L,,1,3,3,0,3,30,347,420,152,46,J24,W,1,,3,2,1,4,19,392,286,157,44,J24,W,1,,2,1,1,2,52,409,196,128,50,J24,W,1,,5,1,0,3,7,442,214,130,39,J24,W,1,,4,2,1,2,36,397,205,103,34,J24,W,1,,2,3,1,3,35,457,351,145,47,J24,W,1,,3,0,0,2,3,240,117,117,36,J24,W,1,,2,3,1,2,40,250,355,130,50
JackOfAll,W,1,,2,1,1,3,47,450,142,141,48,JackOfAll,L,,1,2,3,1,4,28,297,305,110,30,JackOfAll,L,,1,1,3,0,2,2,168,267,102,36,JackOfAll,L,,1,1,3,0,2,28,213,268,128,31,JackOfAll,W,1,,5,1,0,6,54,441,204,141,27,JackOfAll,L,,1,4,3,1,4,19,457,347,140,55,JackOfAll,W,1,,4,2,0,2,56,354,299,111,47,JackOfAll,L,,1,2,3,0,4,57,273,431,158,28,JackOfAll,W,1,,1,1,0,5,2,272,221,122,34,JackOfAll,W,1,,3,2,0,5,45,409,324,177,36,JackOfAll,L,,1,2,3,0,4,26,358,381,162,38,JackOfAll,L,,1,1,3,0,3,31,124,350,127,22,JackOfAll,W,1,,1,1,2,3,2,355,189,137,45,JackOfAll,W,1,,5,2,0,4,35,315,241,128,40
